DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
kznQBykTtJt,2021Q3,T0UEn5RGbEb,dVZwJhviGrl,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,uQJ2RFlLZ8L,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Gi32xq0roZx,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,RtzNjHlVYXH,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,ru0hDqbhyku,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,wQEJHaLbSn1,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,hOmBYbgBZ0O,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,oMV1pF48ZLc,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,qbFLLU6Fimz,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,yuVedHVF5au,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,SkrleMTebAa,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,e6laBt0a4H5,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,g0Y3klhGDYM,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,vG5FAcGH9US,JVafaPfopJf,0
KqVN4pDxEGq,2021Q3,T0UEn5RGbEb,qaqq0s49le3,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,TMCWi1jV65s,b1veZoOczoR,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,TMCWi1jV65s,FR9ZDmeA4Az,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,TMCWi1jV65s,jBJaVu6svtP,JVafaPfopJf,0
JTmqyoIWNsj,2021Q3,TMCWi1jV65s,xxGho4palSB,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,YVmIiOo8V17,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,HDhg4LTHBRa,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,rAvlLbG5dAb,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,dpFsZrc6Ffc,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,A30fQSASmum,JVafaPfopJf,5
YvPOllVtINQ,2021Q3,TMCWi1jV65s,d7veFTMK1Jw,JVafaPfopJf,9
YvPOllVtINQ,2021Q3,TMCWi1jV65s,I0zEWK2C11q,JVafaPfopJf,10
YvPOllVtINQ,2021Q3,TMCWi1jV65s,RKp8rxNgQAX,JVafaPfopJf,19
YvPOllVtINQ,2021Q3,TMCWi1jV65s,MRnYv4nt5gc,JVafaPfopJf,17
YvPOllVtINQ,2021Q3,TMCWi1jV65s,wOxLLZhNrPi,JVafaPfopJf,18
YvPOllVtINQ,2021Q3,TMCWi1jV65s,ONQ9uSvOkGB,JVafaPfopJf,11
YvPOllVtINQ,2021Q3,TMCWi1jV65s,U9R0CAPL0AS,JVafaPfopJf,26
YvPOllVtINQ,2021Q3,TMCWi1jV65s,vIZW4Jv7qqy,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,bQY52yJFcaj,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,sjBprG9Atqw,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Cz8TfD9G4NS,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,hX01YQ8Xd0A,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,Slv7vEZKRXb,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,X3iUwZMRbpC,JVafaPfopJf,0
YvPOllVtINQ,2021Q3,TMCWi1jV65s,ABHnQuSJzZJ,JVafaPfopJf,9
YvPOllVtINQ,2021Q3,TMCWi1jV65s,PRsdy4olkFE,JVafaPfopJf,15
